2020-11-18 14:55:27.070079 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs2_flr_0.1_mlr0.2] itr #0 | Sampling set of tasks/goals for this meta-batch...
2020-11-18 14:55:27.070079 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs2_flr_0.1_mlr0.2] itr #0 | ** Step 0 **
2020-11-18 14:55:27.070079 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs2_flr_0.1_mlr0.2] itr #0 | Obtaining samples...
2020-11-18 14:55:27.070079 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs2_flr_0.1_mlr0.2] itr #0 | Obtaining samples for iteration 0...
2020-11-18 14:55:38.459305 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs2_flr_0.1_mlr0.2] itr #0 | Processing samples...
2020-11-18 14:55:38.563821 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs2_flr_0.1_mlr0.2] itr #0 | fitting baseline...
2020-11-18 14:55:38.607822 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs2_flr_0.1_mlr0.2] itr #0 | fitted
2020-11-18 14:55:38.621821 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs2_flr_0.1_mlr0.2] itr #0 | Logging diagnostics...
2020-11-18 14:55:38.622823 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs2_flr_0.1_mlr0.2] itr #0 | Computing policy updates...
2020-11-18 14:55:38.972819 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs2_flr_0.1_mlr0.2] itr #0 | ** Step 1 **
2020-11-18 14:55:38.973819 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs2_flr_0.1_mlr0.2] itr #0 | Obtaining samples...
2020-11-18 14:55:38.973819 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs2_flr_0.1_mlr0.2] itr #0 | Obtaining samples for iteration 0...
