2020-11-18 14:52:04.638025 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs2_flr_0.1_mlr0.2] itr #0 | Sampling set of tasks/goals for this meta-batch...
2020-11-18 14:52:04.638025 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs2_flr_0.1_mlr0.2] itr #0 | ** Step 0 **
2020-11-18 14:52:04.639026 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs2_flr_0.1_mlr0.2] itr #0 | Obtaining samples...
2020-11-18 14:52:04.639026 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs2_flr_0.1_mlr0.2] itr #0 | Obtaining samples for iteration 0...
2020-11-18 14:52:16.222361 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs2_flr_0.1_mlr0.2] itr #0 | Processing samples...
2020-11-18 14:52:16.304357 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs2_flr_0.1_mlr0.2] itr #0 | fitting baseline...
2020-11-18 14:52:16.351356 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs2_flr_0.1_mlr0.2] itr #0 | fitted
2020-11-18 14:52:16.363356 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs2_flr_0.1_mlr0.2] itr #0 | Logging diagnostics...
2020-11-18 14:52:16.364357 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs2_flr_0.1_mlr0.2] itr #0 | Computing policy updates...
2020-11-18 14:52:16.719354 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs2_flr_0.1_mlr0.2] itr #0 | ** Step 1 **
2020-11-18 14:52:16.719354 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs2_flr_0.1_mlr0.2] itr #0 | Obtaining samples...
2020-11-18 14:52:16.719354 ´ëÇÑ¹Î±¹ Ç¥ÁØ½Ã | [maml2_fbs20_mbs2_flr_0.1_mlr0.2] itr #0 | Obtaining samples for iteration 0...
